Date,WIKI/MMM,WIKI/AXP,WIKI/AAPL,WIKI/BA,WIKI/CAT,WIKI/CVX,WIKI/CSCO,WIKI/KO,WIKI/DD,WIKI/XOM,WIKI/GE,WIKI/GS,WIKI/HD,WIKI/INTC,WIKI/IBM,WIKI/JNJ,WIKI/JPM,WIKI/MCD,WIKI/MRK,WIKI/MSFT,WIKI/NKE,WIKI/PFE,WIKI/PG,WIKI/TRV,WIKI/UNH,WIKI/UTX,WIKI/VZ,WIKI/V,WIKI/WMT,WIKI/DIS
2005-03-18,63.75192476303745,43.756173295299,5.5948623745408,43.466445707384,35.020918952171,40.641042034402,15.105333945627,14.692975228193,35.174604967902,47.067123931958,23.842391042183,96.126930628235,29.142179979601,16.510376353792,69.871185099899,47.59014113984831,26.308138005444,22.33765375953,20.120032752089,18.676513527834146,9.0432561840215,15.803042507664,37.944990775575,28.132083250666,41.577817167891,40.459920434138,22.524962686236197,,40.337102104042,24.258527405555
2005-03-21,63.3893615883173,43.664318733038,5.6912357022214,43.223106613151,34.940995693151,40.398730422405,15.224139942952,14.742589712803,34.661894960698,46.691488465622,23.928776516973,95.794795388748,28.475087896734,16.573850675528,70.051184792697,47.307077103328766,26.147410697441,22.183600974981,19.994439538905,18.59200441684847,8.8844167896885,15.729625353157,37.476007743518,27.713451059436,41.750963146234,40.491118445075,22.396797891435426,,40.117580459938,24.336251416466
2005-03-22,63.17478338287067,42.737422695675,5.5779319250834,43.512071787552,34.406963007885,39.826605782968,15.20716765762,14.671711877646,34.90475759569,45.752399799781,23.589879654334,94.38759082145,28.34766581349,16.235320959603,70.043358719097,47.26461749785084,25.614088266339,22.022545791135,20.082354788134,18.430668841330366,8.7404024054934,15.552200563098,36.985707300912,27.317653351364,41.942335017035,40.066045546056,22.082794144173526,,39.905898874553,23.990811367971
2005-03-23,62.945406680496696,42.102791174598,5.5414663416367,43.230710959845,34.018245339017,39.32178992464,15.062903232297,14.593746258972,34.547209827508,45.143870344316,23.589879654334,94.448773628724,28.257720813553,16.496270948962,70.841618226287,48.26241822658223,25.519113038883,22.022545791135,20.132592073407,18.576639123941987,8.6239201829825,15.931522528052,37.539959975162,27.789566003296,42.092698629806,39.722867425747,22.371164932475267,,39.709897406603,23.990811367971
2005-03-24,63.10079089823391,41.985885368084,5.5349546303069,43.192689226371,33.996448086557,39.180441484309,15.173223086956,14.600834042488,34.392047588486,44.324985027702,23.742715494348,94.745947264054,28.50506956338,16.348164198244,70.982487551085,48.184575616539355,25.519113038883,22.113576982005,20.013278520882,18.65346558847442,8.8547667694131,16.011057778768,37.376526494293,27.599278643646,42.306852866178,39.750165685317,22.275041336374688,,39.717737465321,23.964903364334
2005-03-28,63.01939916513347,42.662268962916,5.5388616571048,44.181254296693,34.228952112796,39.234288509197,15.181709229622,14.572482908425,34.567448380424,44.242345225108,23.902196370884,95.864718597061,28.924812896419,16.432796627226,71.248574053481,48.36856724027705,25.460666745064,22.078564985516,19.944202253631,18.59200441684847,8.8124095975909,16.047766356021,37.312574262649,27.713451059436,42.429877640263,39.74626593395,22.249408377414532,,39.976459403015,24.327615415254
2005-03-29,62.63463824502229,42.511961497398,5.4372789603603,43.534884827637,32.623221181586,38.965053384756,15.062903232297,14.668167985888,33.926560871419,43.776557246851,23.609814763901,94.78964926925,28.250225396892,16.327006090999,70.904226815086,48.064273401018546,25.263410503423,21.721442621336,20.101193770111,18.376890316157667,8.6482755567803,15.686798679695,36.850697034107,27.66778209312,42.420764694035,39.566877371061,22.339123733775075,,39.803978111219,24.094443382519
2005-03-30,63.618738290691276,43.079789700467,5.5740248982855,44.705954218633,33.233544250462,39.214095874864,15.300515226947,14.866625924329,34.48649416876,44.505290051544,24.055032210898,95.969603409531,28.595014563317,16.566797973113,70.966835403885,48.156269212887395,25.533724612338,22.162593777088,20.371219178457,18.5612738310355,8.7202827488778,16.084474933275,37.916567561511,27.941795891016,43.616838886536,40.062145794689,22.704393398957283,,39.858858522245,24.483063437076
2005-03-31,63.40416008524465,42.996090866776,5.4268602222327,44.455010777706,33.219012748822,39.247750265419,15.181709229622,14.767396955108,34.567448380424,44.775747587306,23.962001699585,96.135671029274,28.66247331327,16.38342771032,71.514660555878,47.52645173163141,25.278022076878,21.805471412908,20.327261553843,18.568956477488744,8.8219399612509,16.072238740857,37.660758634934,27.957018879788,43.466451708262,39.644872398404,22.749251077137554,,39.286534235832,24.811231483146
2005-04-01,62.98240292281509,42.602706348431,5.3252775254882,44.698349871939,32.750371820935,39.920838076522,15.020472518966,14.66462409413,34.290854823906,45.489454973345,23.569944544767,95.532583357575,28.182766646939,16.228268257187,70.779009637487,47.307077103328766,25.022319541418,21.707437822741,20.289583589887,18.53054324522253,8.7891131530888,15.99882158635,37.383632297809,26.914244148906,43.671525133181,39.36409029997,22.550595645196353,,38.408447659417,24.681691464961
