,count,mean,std,min,5%,10%,25%,50%,75%,90%,95%,max
2017-09-01,5000.0,-6.072,20.347,-37.791,-36.979,-35.255,-25.997,-4.363,13.697,19.843,20.871,21.189
2017-10-01,5000.0,-8.236,25.27,-37.791,-37.755,-37.538,-33.948,-12.919,16.948,29.215,31.139,31.721
2017-11-01,5000.0,-11.234,31.813,-37.791,-37.791,-37.79,-37.684,-29.143,14.274,44.793,50.119,51.87
2017-12-01,5000.0,-13.716,44.618,-37.791,-37.791,-37.791,-37.791,-37.791,-11.62,71.573,94.933,121.899
