value,zero
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-9.0944523835371,0
-8.695645122259995,0
-8.296837860982905,0
-7.8980305997058,0
-7.49922333842871,0
-7.100416077151605,0
-6.701608815874501,0
-6.302801554597409,0
-5.903994293320305,0
-5.505187032043214,0
-5.106379770766109,0
-4.707572509489005,0
-4.308765248211914,0
-3.90995798693481,0
-3.5111507256577195,0
-3.112343464380615,0
-2.7135362031035104,0
-2.314728941826419,0
-1.9159216805493147,0
-1.5171144192722243,0
-1.1183071579951198,0
-0.7194998967180144,0
-0.3206926354409241,0
0.07811462583618045,0
0.47692188711327077,0
0.8757291483903753,0
1.2745364096674798,0
1.6733436709445701,0
2.0721509322216747,0
2.470958193498765,0
2.8697654547758695,0
3.268572716052974,0
3.6673799773300644,0
4.066187238607169,0
4.464994499884261,0
4.8638017611613655,0
5.26260902243847,0
5.66141628371556,0
5.860819914354113,0
5.860819914354113,0
5.860819914354113,0
5.860819914354112,0
5.8608199143541135,0
5.860819914354112,0
5.8608199143541135,0
5.860819914354112,0
5.8608199143541135,0
5.860819914354112,0
5.860819914354113,0
5.860819914354111,0
5.860819914354113,0
5.860819914354111,0
5.860819914354113,0
5.860819914354111,0
5.860819914354113,0
5.8608199143541135,0
5.860819914354112,0
5.8608199143541135,0
5.860819914354112,0
5.8608199143541135,0
5.860819914354112,0
5.8608199143541135,0
5.860819914354112,0
5.8608199143541135,0
5.860819914354112,0
5.860819914354112,0
5.86081991435411,0
5.860819914354112,0
5.8608199143541135,0
5.860819914354112,0
5.8608199143541135,0
5.860819914354112,0
5.8608199143541135,0
5.860819914354112,0
5.8608199143541135,0
5.860819914354112,0
