S,Payoff
50.0,43.499936627399684
51.0,42.50659926445852
52.0,41.51326190151736
53.0,40.5199245385762
54.0,39.52658717563504
55.0,38.53324981269388
56.0,37.53991244975272
57.0,36.54657508681156
58.0,35.553237723870396
59.0,34.559900360929234
60.0,33.56656299798807
61.0,32.57322563504692
62.0,31.579888272105755
63.0,30.586550909164593
64.0,29.59321354622343
65.0,28.59987618328227
66.0,27.606538820341108
67.0,26.613201457399946
68.0,25.619864094458787
69.0,24.626526731517625
70.0,23.633189368576467
71.0,22.639852005635305
72.0,21.646514642694143
73.0,20.65317727975298
74.0,19.659839916811823
75.0,18.66650255387066
76.0,17.6731651909295
77.0,16.67982782798834
78.0,15.686490465047179
79.0,14.693153102106017
80.0,13.699815739164855
81.0,12.706478376223696
82.0,11.713141013282534
83.0,10.719803650341373
84.0,9.726466287400212
85.0,8.733128924459052
86.0,7.73979156151789
87.0,6.74645419857673
88.0,5.753116835635568
89.0,4.759779472694408
90.0,3.766442109753246
91.0,2.773104746812086
92.0,1.779767383870925
93.0,0.7864300209297639
94.0,-0.20690734201139716
95.0,-1.2002447049525582
96.0,-2.193582067893719
97.0,-3.18691943083488
98.0,-4.18025679377604
99.0,-5.1735941567172015
100.0,-6.1669315196583625
101.0,-6.1669315196583625
102.0,-6.1669315196583625
103.0,-6.1669315196583625
104.0,-6.1669315196583625
105.0,-6.1669315196583625
106.0,-6.1669315196583625
107.0,-6.1669315196583625
108.0,-6.1669315196583625
109.0,-6.1669315196583625
110.0,-6.1669315196583625
111.0,-6.1669315196583625
112.0,-6.1669315196583625
113.0,-6.1669315196583625
114.0,-6.1669315196583625
115.0,-6.1669315196583625
116.0,-6.1669315196583625
117.0,-6.1669315196583625
118.0,-6.1669315196583625
119.0,-6.1669315196583625
120.0,-6.1669315196583625
121.0,-6.1669315196583625
122.0,-6.1669315196583625
123.0,-6.1669315196583625
124.0,-6.1669315196583625
125.0,-6.1669315196583625
126.0,-6.1669315196583625
127.0,-6.1669315196583625
128.0,-6.1669315196583625
129.0,-6.1669315196583625
130.0,-6.1669315196583625
131.0,-6.1669315196583625
132.0,-6.1669315196583625
133.0,-6.1669315196583625
134.0,-6.1669315196583625
135.0,-6.1669315196583625
136.0,-6.1669315196583625
137.0,-6.1669315196583625
138.0,-6.1669315196583625
139.0,-6.1669315196583625
140.0,-6.1669315196583625
141.0,-6.1669315196583625
142.0,-6.1669315196583625
143.0,-6.1669315196583625
144.0,-6.1669315196583625
145.0,-6.1669315196583625
146.0,-6.1669315196583625
147.0,-6.1669315196583625
148.0,-6.1669315196583625
149.0,-6.1669315196583625
150.0,-6.1669315196583625
