value,zero
-9.036109074279167,0
-9.02242812854524,0
-9.006100841666349,0
-8.986742666352397,0
-8.963938031164822,0
-8.937242068939598,0
-8.906183115842687,0
-8.870265995383003,0
-8.82897607883164,0
-8.78178408938536,0
-8.728151593043034,0
-8.667537095572628,0
-8.599402643169432,0
-8.523220805423815,0
-8.438481903896516,0
-8.344701338647194,0
-8.24142685898113,0
-8.12824562374325,0
-8.004790900725702,0
-7.870748263949334,0
-7.725861161285616,0
-7.569935742455457,0
-7.402844858067726,0
-7.224531163117842,0
-7.035009282271874,0
-6.834367018319546,0
-6.622765608444673,0
-6.400439054574885,0
-6.16769257331298,0
-5.924900227254111,0
-5.672501812475163,0
-5.4109990864494515,0
-5.140951426579328,0
-4.862971012110091,0
-4.577717621694512,0
-4.285893135742585,0
-3.9882358274191625,0
-3.685514519302405,0
-3.378522674850556,0
-3.0680724854965087,0
-2.7549890058944553,0
-2.4401043820101362,0
-2.124252209711073,0
-1.8082620555181275,0
-1.492954166357265,0
-1.1791343915400507,0
-0.8675893377479187,0
-0.5590817763662332,0
-0.2543463219163081,0
0.04591459966640721,0
0.3410344738284862,0
0.6303860917805485,0
0.9133845967512811,0
1.1894901625732126,0
1.4582102858173103,0
1.719101674169616,0
1.9717717160121535,0
2.2158795192608642,0
2.4511365113881585,0
2.677306597139934,0
2.894205875620993,0
3.1017019240095305,0
3.299712660991287,0
3.4882048088794195,0
3.6671919791091785,0
3.836732411175688,0
3.996926399940246,0
4.147913450413586,0
4.2898692025063125,0
4.423002170725788,0
4.547550345336981,0
4.663777702065883,0
4.771970667025936,0
4.872434582222561,0
4.965490214820022,0
5.051470350420245,0
5.130716507026581,0
5.203575802263992,0
5.270398001934929,0
5.331532773242972,0
5.38732716114289,0
5.43812330140266,0
5.48425637920411,0
5.526052837566574,0
5.563828835637009,0
5.59788895302488,0
5.628525132917419,0
5.656015853734761,0
5.680625516591618,0
5.70260403382626,0
5.722186602338857,0
5.739593644421289,0
5.755030898136596,0
5.7686896390819395,0
5.78074701549712,0
5.791366479123292,0
5.800698294918311,0
5.808880113654098,0
5.81603759250798,0
5.822285049967634,0
5.827726142661907,0
