Portfolio payoff,0
-37.790592187415314,0.0
-37.790550248484124,0.0
-37.78982369256255,0.001
-37.78980917377248,0.001
-37.7896641932341,0.001
-37.789569396704564,0.001
-37.789072484207054,0.001
-37.78876449370364,0.002
-37.78874801000916,0.002
-37.78823775285514,0.002
-37.78796711642963,0.002
-37.78770175207205,0.002
-37.78697427826614,0.003
-37.78697304494085,0.003
-37.78514710214017,0.003
-37.78504348154479,0.003
-37.78473657499103,0.003
-37.78459920472528,0.004
-37.784350024771584,0.004
-37.782569605555636,0.004
-37.78152830105887,0.004
-37.780862152952295,0.004
-37.78049050929076,0.005
-37.78030273758122,0.005
-37.77886041519105,0.005
-37.77568730296889,0.005
-37.775113015721445,0.005
-37.77473426666597,0.006
-37.774488954592016,0.006
-37.773790896777655,0.006
-37.77259467378508,0.006
-37.771792308642716,0.006
-37.770394981739855,0.007
-37.76972041024669,0.007
-37.76955714427936,0.007
-37.767193132245666,0.007
-37.76583193750503,0.007
-37.76416170017387,0.008
-37.76384784030529,0.008
-37.763179373100684,0.008
-37.76102451742281,0.008
-37.75942404681564,0.008
-37.75884969601839,0.009
-37.75811370785277,0.009
-37.75492277074136,0.009
-37.75416317154804,0.009
-37.75324789766,0.009
-37.75210461533857,0.01
-37.752088426371074,0.01
-37.75154253750998,0.01
-37.7498270494375,0.01
-37.74923455694034,0.01
-37.74751875688162,0.011
-37.745627680960524,0.011
-37.744021878211925,0.011
-37.742789974720154,0.011
-37.740527099727615,0.011
-37.73528922198989,0.012
-37.733917000116435,0.012
-37.733790294985965,0.012
-37.731391256300185,0.012
-37.726092077205976,0.012
-37.72416321210949,0.013
-37.72346390505618,0.013
-37.722733443625884,0.013
-37.72175406776137,0.013
-37.721342737246914,0.013
-37.72048994845818,0.014
-37.71851132606366,0.014
-37.71761600166292,0.014
-37.716545602821725,0.014
-37.71536653164367,0.014
-37.71359494237208,0.015
-37.7107377243683,0.015
-37.709351666944485,0.015
-37.7036670402249,0.015
-37.700296763785445,0.015
-37.69881567376774,0.016
-37.69549396062234,0.016
-37.69033038249745,0.016
-37.6895537299572,0.016
-37.68923807042961,0.016
-37.68791064593802,0.017
-37.68633038952453,0.017
-37.68432255283756,0.017
-37.68154158950301,0.017
-37.67971802103398,0.017
-37.67865657012385,0.018
-37.67845501282909,0.018
-37.676277562591395,0.018
-37.66972063088542,0.018
-37.669323989827035,0.018
-37.6678276006669,0.019
-37.667385421160134,0.019
-37.66622891514589,0.019
-37.664598101848696,0.019
-37.65975131798655,0.019
-37.658903862017496,0.02
-37.65829175014642,0.02
-37.65677133455324,0.02
-37.6567555736342,0.02
-37.65649518836335,0.02
-37.65200175950895,0.021
-37.648246056847256,0.021
-37.647191943750386,0.021
-37.64577183751342,0.021
-37.64553865489597,0.021
-37.64251439747045,0.022
-37.634969433984,0.022
-37.634800301112364,0.022
-37.63297212489533,0.022
-37.632936401136476,0.022
-37.62571286636012,0.023
-37.62544720669871,0.023
-37.6248173929539,0.023
-37.620649661327434,0.023
-37.61358440387539,0.023
-37.60881399473055,0.024
-37.60877407705155,0.024
-37.594293357624565,0.024
-37.593767813762724,0.024
-37.592458026315626,0.024
-37.58679949452062,0.025
-37.577904491724325,0.025
-37.57566472129929,0.025
-37.5721207612205,0.025
-37.57000061024303,0.025
-37.565681408370665,0.026
-37.55997166281986,0.026
-37.55927925288972,0.026
-37.5509348343769,0.026
-37.550302345048635,0.026
-37.54401314099164,0.027
-37.54274640144695,0.027
-37.54222436615407,0.027
-37.54192336852077,0.027
-37.54105104774305,0.027
-37.539173601996254,0.028
-37.53906803096572,0.028
-37.5386887361899,0.028
-37.53843514582309,0.028
-37.53721216539293,0.028
-37.53137607407962,0.029
-37.52855549453034,0.029
-37.52650231552684,0.029
-37.52443437123998,0.029
-37.523185730513546,0.029
-37.512084952003306,0.03
-37.50753280916433,0.03
-37.49598467719056,0.03
-37.485854907900375,0.03
-37.48419981318898,0.03
-37.46902691422099,0.031
-37.46715646740597,0.031
-37.459445418464384,0.031
-37.45844014155091,0.031
-37.45842718534891,0.031
-37.45719102819294,0.032
-37.45587886521503,0.032
-37.45257012336549,0.032
-37.44995953451371,0.032
-37.44852913873842,0.032
-37.44411747714446,0.033
-37.43340376502033,0.033
-37.4328276837598,0.033
-37.42954267143841,0.033
-37.42311184549226,0.033
-37.422116862295866,0.034
-37.417749311487796,0.034
-37.41660222678934,0.034
-37.40727801939761,0.034
-37.40709819151698,0.034
-37.405938474356844,0.035
-37.403171696300205,0.035
-37.39896534719503,0.035
-37.392370497621755,0.035
-37.38447415973815,0.035
-37.382729478813076,0.036
-37.38192736048779,0.036
-37.37917634151586,0.036
-37.36952358874828,0.036
-37.36263660538566,0.036
-37.356952673773094,0.037
-37.356711710818445,0.037
-37.356155648238996,0.037
-37.3500811116221,0.037
-37.346820466239365,0.037
-37.3428913675923,0.038
-37.340266987358746,0.038
-37.339721408709465,0.038
-37.3375065468872,0.038
-37.32562985087725,0.038
-37.31897053388548,0.039
-37.316691094408725,0.039
-37.31646149512471,0.039
-37.29054536040917,0.039
-37.28444337815108,0.039
-37.27907707588304,0.04
-37.27266801748169,0.04
-37.26985321267716,0.04
-37.24727451342187,0.04
-37.23583821546765,0.04
-37.23499330444656,0.041
-37.23090553374877,0.041
-37.225499222566555,0.041
-37.22245297186396,0.041
-37.22198362488257,0.041
-37.21664255091548,0.042
-37.21592886982398,0.042
-37.20240209736539,0.042
-37.20020589634214,0.042
-37.187367066548404,0.042
-37.18691424358735,0.043
-37.186247941047895,0.043
