date,open,high,low,close,volume,adj_close,ret
1950-04-21,17.959999,17.959999,17.959999,17.959999,2710000,17.959999,-0.007238252073399454
1950-04-24,17.83,17.83,17.83,17.83,2310000,17.83,0.0
1950-04-25,17.83,17.83,17.83,17.83,1830000,17.83,-0.0039259674705550696
1950-04-26,17.76,17.76,17.76,17.76,1880000,17.76,0.005630686936936913
1950-04-27,17.860001,17.860001,17.860001,17.860001,2070000,17.860001,0.005598991847760804
1950-04-28,17.959999,17.959999,17.959999,17.959999,2190000,17.959999,0.014476615505379264
1950-05-01,18.219998999999998,18.219998999999998,18.219998999999998,18.219998999999998,2390000,18.219998999999998,-0.006037212186454921
1950-05-02,18.110001,18.110001,18.110001,18.110001,2250000,18.110001,0.008834842140538868
1950-05-03,18.27,18.27,18.27,18.27,2120000,18.27,-0.008210125889436148
1950-05-04,18.120001000000002,18.120001000000002,18.120001000000002,18.120001000000002,2150000,18.120001000000002,0.005518653117071892
1950-05-05,18.219998999999998,18.219998999999998,18.219998999999998,18.219998999999998,1800000,18.219998999999998,0.002744292137447424
1950-05-08,18.27,18.27,18.27,18.27,1680000,18.27,0.0
1950-05-09,18.27,18.27,18.27,18.27,1720000,18.27,0.0010947454844005833
1950-05-10,18.290001,18.290001,18.290001,18.290001,1880000,18.290001,0.0
1950-05-11,18.290001,18.290001,18.290001,18.290001,1750000,18.290001,-0.006014269764118674
1950-05-12,18.18,18.18,18.18,18.18,1790000,18.18,0.004400440044004528
1950-05-15,18.26,18.26,18.26,18.26,1220000,18.26,0.009857667031763384
1950-05-16,18.440001000000002,18.440001000000002,18.440001000000002,18.440001000000002,1730000,18.440001000000002,0.004338340328723156
1950-05-17,18.52,18.52,18.52,18.52,2020000,18.52,0.0021597732181424245
1950-05-18,18.559998999999998,18.559998999999998,18.559998999999998,18.559998999999998,5240000,18.559998999999998,0.006465571469050246
1950-05-19,18.68,18.68,18.68,18.68,2110000,18.68,-0.004282655246252598
1950-05-22,18.6,18.6,18.6,18.6,1620000,18.6,0.005913924731182796
1950-05-23,18.709999,18.709999,18.709999,18.709999,1460000,18.709999,-0.0010688402495370175
1950-05-24,18.690001000000002,18.690001000000002,18.690001000000002,18.690001000000002,1850000,18.690001000000002,0.0
1950-05-25,18.690001000000002,18.690001000000002,18.690001000000002,18.690001000000002,1480000,18.690001000000002,-0.0010701444050217335
1950-05-26,18.67,18.67,18.67,18.67,1330000,18.67,0.0026780396357790615
1950-05-29,18.719998999999998,18.719998999999998,18.719998999999998,18.719998999999998,1110000,18.719998999999998,0.0032052352139551044
1950-05-31,18.780001000000002,18.780001000000002,18.780001000000002,18.780001000000002,1530000,18.780001000000002,-0.0005325345829322314
1950-06-01,18.77,18.77,18.77,18.77,1580000,18.77,0.001065583377730439
1950-06-02,18.790001,18.790001,18.790001,18.790001,1450000,18.790001,-0.010111814256954954
1950-06-05,18.6,18.6,18.6,18.6,1630000,18.6,0.015053709677419258
1950-06-06,18.879998999999998,18.879998999999998,18.879998999999998,18.879998999999998,2250000,18.879998999999998,0.0026483581911207477
1950-06-07,18.93,18.93,18.93,18.93,1750000,18.93,0.011093449550977352
1950-06-08,19.139999,19.139999,19.139999,19.139999,1780000,19.139999,0.006269645050660744
1950-06-09,19.26,19.26,19.26,19.26,2130000,19.26,0.007268951194184581
1950-06-12,19.4,19.4,19.4,19.4,1790000,19.4,-0.0077319587628865705
1950-06-13,19.25,19.25,19.25,19.25,1790000,19.25,-0.014025974025974053
1950-06-14,18.98,18.98,18.98,18.98,1650000,18.98,-0.0026343519494205214
1950-06-15,18.93,18.93,18.93,18.93,1530000,18.93,0.002112995245641791
1950-06-16,18.969998999999998,18.969998999999998,18.969998999999998,18.969998999999998,1180000,18.969998999999998,-0.0026356880672474547
1950-06-19,18.92,18.92,18.92,18.92,1290000,18.92,-0.004756871035941024
1950-06-20,18.83,18.83,18.83,18.83,1470000,18.83,0.009028146574615148
1950-06-21,19.0,19.0,19.0,19.0,1750000,19.0,0.008421052631578885
1950-06-22,19.16,19.16,19.16,19.16,1830000,19.16,-0.0010438935281837924
1950-06-23,19.139999,19.139999,19.139999,19.139999,1700000,19.139999,-0.05381390040824974
1950-06-26,18.110001,18.110001,18.110001,18.110001,3950000,18.110001,-0.01104367691641761
1950-06-27,17.91,17.91,17.91,17.91,4860000,17.91,0.01116700167504181
1950-06-28,18.110001,18.110001,18.110001,18.110001,2600000,18.110001,-0.03699613268933544
1950-06-29,17.440001000000002,17.440001000000002,17.440001000000002,17.440001000000002,3040000,17.440001000000002,0.014334861563368051
