date,snp,djia,nasdaq,microsoft,apple,google,vix
2004-11-16,1175.430054,10487.650391,2078.6201170000004,20.414799,3.530507,85.712524,13.21
2004-11-17,1181.939941,10549.570313,2099.679932,20.452436,3.527936,85.69265,13.21
2004-11-18,1183.550049,10572.549805,2104.280029,20.377161,3.559424,83.22867600000002,12.98
2004-11-19,1170.339966,10456.910156,2070.629883,20.219084,3.545288,84.152664,13.5
2004-11-22,1177.23999,10489.419922,2085.189941,20.060999,3.942422,82.016563,12.97
2004-11-23,1176.939941,10492.599609,2084.280029,19.970675,3.937281,83.218742,12.67
2004-11-24,1181.76001,10520.30957,2102.540039,20.053467,4.115926,86.815353,12.72
2004-11-26,1182.650024,10522.230469,2101.969971,20.023359,4.148057,89.115387,12.78
2004-11-29,1178.569946,10475.900391,2106.8701170000004,20.151335,4.398032,89.940025,13.3
2004-11-30,1173.819946,10428.019531,2096.810059,20.181435,4.308711,90.402023,13.24
2004-12-01,1191.369995,10590.219727,2138.22998,20.512655,4.356262,89.398552,12.97
2004-12-02,1190.329956,10585.120117,2143.570068,20.39222,4.19047,89.120361,12.98
2004-12-03,1191.170044,10592.209961,2147.959961,20.497601,4.027888,89.617126,12.96
2004-12-06,1190.25,10547.05957,2151.25,20.572876,4.227098000000002,87.575409,13.19
2004-12-07,1177.069946,10440.580078,2114.659912,20.377161,4.0413830000000015,85.16111,13.67
2004-12-08,1182.810059,10494.230469,2126.110107,20.595459,4.066445,84.44079599999998,13.19
2004-12-09,1189.23999,10552.820313,2129.01001,20.497601,4.11207,86.154648,12.88
2004-12-10,1188.0,10543.219727,2128.070068,20.384689,4.186613,85.270401,12.76
2004-12-13,1198.680054,10638.320313,2148.5,20.512655,4.17119,84.674278,12.54
2004-12-14,1203.380005,10676.450195,2159.840088,20.497601,4.19561,88.76765400000002,12.73
2004-12-15,1205.719971,10691.450195,2162.550049,20.407269,4.193681,89.309128,12.35
2004-12-16,1203.209961,10705.639648,2146.149902,20.444904,4.279792,87.664825,12.27
2004-12-17,1194.199951,10649.919922,2135.199951,20.294353,4.176332,89.45815999999998,11.95
2004-12-20,1194.650024,10661.599609,2127.850098,20.286827,4.030459,91.912201,11.83
2004-12-21,1205.449951,10759.429688,2150.909912,20.377161,4.092793,91.281303,11.55
2004-12-22,1209.569946,10815.889648,2157.030029,20.301884,4.096647,92.548065,11.45
2004-12-23,1210.130005,10827.120117,2160.6201170000004,20.331993,4.113356,93.342896,11.23
2004-12-27,1204.920044,10776.129883,2154.219971,20.211554,4.0587339999999985,95.334938,12.14
2004-12-28,1213.540039,10854.540039,2177.189941,20.286827,4.1242790000000005,95.757195,12.0
2004-12-29,1213.449951,10829.19043,2177.0,20.249193,4.140987,95.826736,11.62
2004-12-30,1213.550049,10800.299805,2178.340088,20.143803,4.164123,98.161552,12.56
2004-12-31,1211.920044,10783.009766,2175.439941,20.113697,4.138418,95.772095,13.29
2005-01-03,1202.079956,10729.429688,2152.149902,20.128746,4.067089,100.700043,14.08
2005-01-04,1188.050049,10630.780273,2107.860107,20.204027,4.108857,96.621567,13.98
2005-01-05,1183.73999,10597.830078,2091.23999,20.158863,4.144843,96.129768,14.09
2005-01-06,1187.890015,10622.879883,2090.0,20.136276,4.148057,93.665794,13.58
2005-01-07,1186.189941,10603.959961,2088.610107,20.076063,4.450085,96.298668,13.49
2005-01-10,1190.25,10621.030273,2097.040039,20.173914,4.431449,96.899757,13.23
2005-01-11,1182.98999,10556.219727,2079.6201170000004,20.121223,4.1487,96.144669,13.19
2005-01-12,1187.699951,10617.780273,2092.530029,20.158863,4.206535,97.058723,12.56
2005-01-13,1177.449951,10505.830078,2070.560059,19.774954,4.485428,97.03389,12.84
2005-01-14,1184.52002,10558.0,2087.909912,19.662045000000006,4.511133,99.338898,12.43
2005-01-18,1195.97998,10628.790039,2106.040039,19.812588,4.54005,101.291199,12.47
2005-01-19,1184.630005,10539.969727,2073.590088,19.556654,4.490569,98.01252,13.18
2005-01-20,1175.410034,10471.469727,2045.880005,19.466326,4.527839,96.333443,13.83
2005-01-21,1167.869995,10392.990234,2034.27002,19.308241,4.529768,93.53167,14.36
2005-01-24,1163.75,10368.610352,2008.699951,19.323305,4.547117,89.776093,14.65
2005-01-25,1168.410034,10461.55957,2019.949951,19.586763,4.630016,87.987724,14.06
2005-01-26,1174.069946,10498.589844,2046.089966,19.579239,4.642868,94.008568,13.44
2005-01-27,1174.550049,10467.400391,2047.150024,19.654514,4.66793,93.432312,13.24
